,Movie_Script,Movie_Trope
136,frequency,Frequency
137,alienresurrection,AlienResurrection
138,thehuntforredoctober,TheHuntForRedOctober
139,margincall,MarginCall
140,theabyss,TheAbyss
141,manonfire,ManOnFire
142,thelincolnlawyer,TheLincolnLawyer
143,getcarter,GetCarter
144,nickoftime,NickOfTime
145,manhunter,Manhunter
146,mulhollanddrive,MulhollandDrive
147,vforvendetta,VForVendetta
148,alien,Alien
149,thehangover,TheHangover
150,kalifornia,Kalifornia
151,buried,Buried
152,sourcecode,SourceCode
153,surrogates,Surrogates
154,whatliesbeneath,WhatLiesBeneath
155,ticker,Ticker
156,stirofechoes,StirOfEchoes
157,whenastrangercalls,WhenAStrangerCalls
158,thedeparted,TheDeparted
159,darkcity,DarkCity
160,miamivice,MiamiVice
161,alien3,Alien3
162,predator,Predator
163,truelies,TrueLies
164,jurassicparkiii,JurassicParkIII
165,legion,Legion
166,swordfish,Swordfish
167,baddayatblackrock,BadDayAtBlackRock
168,valkyrie,Valkyrie
169,thematrixreloaded,TheMatrixReloaded
170,missionimpossibleii,MissionImpossibleII
171,panicroom,PanicRoom
172,thecrowsalvation,TheCrowSalvation
173,jennifersbody,JennifersBody
174,lordofillusions,LordOfIllusions
175,thehollow,TheHollow
176,ghostrider,GhostRider
177,chinatown,Chinatown
178,arbitrage,Arbitrage
179,hackers,Hackers
180,thekilling,TheKilling
181,thenines,TheNines
182,frightnight1985,FrightNight1985
183,thetakingofpelhamonetwothree,TheTakingOfPelhamOneTwoThree
184,gamer,Gamer
185,theisland,TheIsland
186,theworldisnotenough,TheWorldIsNotEnough
187,thebiglebowski,TheBigLebowski
188,theblackdahlia,TheBlackDahlia
189,backdraft,Backdraft
190,thesiege,TheSiege
191,hotelrwanda,HotelRwanda
192,escapefromnewyork,EscapeFromNewYork
193,thebookofeli,TheBookOfEli
194,bloodsimple,BloodSimple
195,themanchuriancandidate,TheManchurianCandidate
196,collateraldamage,CollateralDamage
197,landofthedead,LandOfTheDead
198,cliffhanger,Cliffhanger
199,bodyheat,BodyHeat
200,crank,Crank
201,istillknowwhatyoudidlastsummer,IStillKnowWhatYouDidLastSummer
202,maxpayne,MaxPayne
203,thebourneultimatum,TheBourneUltimatum
204,reindeergames,ReindeerGames
205,redplanet,RedPlanet
206,heavenlycreatures,HeavenlyCreatures
207,pi,Pi
208,case39,Case39
209,eventhorizon,EventHorizon
210,tinkertailorsoldierspy,TinkerTailorSoldierSpy
211,singlewhitefemale,SingleWhiteFemale
212,bladeii,BladeII
213,eagleeye,EagleEye
214,thefrenchconnection,TheFrenchConnection
215,theroommate,TheRoommate
216,halloweenthecurseofmichaelmyers,HalloweenTheCurseOfMichaelMyers
217,jasonx,JasonX
218,nursebetty,NurseBetty
219,onlygodforgives,OnlyGodForgives
220,thestuntman,TheStuntMan
221,defiance,Defiance
222,theshining,TheShining
223,hellboundhellraiserii,HellboundHellraiserII
224,pulpfiction,PulpFiction
225,aliens,Aliens
226,scream3,Scream3
227,terminatorsalvation,TerminatorSalvation
228,bluevelvet,BlueVelvet
229,jfk,JFK
230,antitrust,Antitrust
231,crash,Crash
232,diehard2,DieHard2
233,thejacket,TheJacket
234,ronin,Ronin
235,thecar,TheCar
236,thegrudge,TheGrudge
237,hancock,Hancock
238,gattaca,Gattaca
239,theghostandthedarkness,TheGhostAndTheDarkness
240,obsessed,Obsessed
241,mirrors,Mirrors
242,chaos,Chaos
243,jaws,Jaws
244,thedarkknightrises,TheDarkKnightRises
245,theamerican,TheAmerican
246,virtuosity,Virtuosity
247,uturn,UTurn
248,spartan,Spartan
249,memento,Memento
250,mimic,Mimic
251,entrapment,Entrapment
252,thebutterflyeffect,TheButterflyEffect
253,afewgoodmen,AFewGoodMen
254,verybadthings,VeryBadThings
255,thecrowcityofangels,TheCrowCityOfAngels
256,thesixthsense,TheSixthSense
257,deepcover,DeepCover
258,thetourist,TheTourist
259,metro,Metro
260,midnightexpress,MidnightExpress
261,absolutepower,AbsolutePower
262,enough,Enough
263,thegame,TheGame
264,pitchblack,PitchBlack
265,scream,Scream
266,thecell,TheCell
267,strangedays,StrangeDays
268,thefugitive,TheFugitive
269,zerodarkthirty,ZeroDarkThirty
270,wanted,Wanted
271,faceoff,FaceOff
272,thebourneidentity,TheBourneIdentity
273,constantine,Constantine
274,startreknemesis,StarTrekNemesis
275,lockstockandtwosmokingbarrels,LockStockAndTwoSmokingBarrels
276,gingersnaps,GingerSnaps
277,darkstar,DarkStar
278,shallowgrave,ShallowGrave
279,jurassicparkthelostworld,TheLostWorld
280,walkingtall,WalkingTall2004
281,thelmalouise,ThelmaAndLouise
282,thelmalouise,ThelmaAndLouise
283,theitalianjob,TheItalianJob2003
284,daytheearthstoodstillthe,TheDayTheEarthStoodStill1951
285,cecilb.demented,CecilBDemented
286,hauntingthe,TheHaunting1999
287,assignmentthe,TheAssignment1997
288,terminator2judgementday,Terminator2JudgmentDay
289,127hours,OneHundredAndTwentySevenHours
290,after.life,AfterLife
291,twinpeaks,TwinPeaksFireWalkWithMe
292,grossepointblank,GrossePointeBlank
293,silenceofthelambs,TheSilenceOfTheLambs
294,aloneinthedark,AloneInTheDark2005
295,12monkeys,TwelveMonkeys
296,pointbreak,PointBreak1991
297,leviathan,Leviathan1989
298,promnight,PromNight1980
299,talentedmr.ripleythe,TheTalentedMrRipley
300,frozen,Frozen2010
301,totalrecall,TotalRecall1990
302,hillshaveeyesthe,TheHillsHaveEyes2006
303,fracture,Fracture2007
304,devilsadvocate,TheDevilsAdvocate
